delay_ms,total_trades,total_net_profit,avg_profit_per_trade,same_outcome_trades,cross_outcome_trades
0,338,2901.55,8.5845,302,36
50,297,2754.92,9.2758,256,41
100,287,2710.73,9.4450,248,39
250,268,2639.64,9.8494,227,41
500,250,2786.40,11.1456,219,31
1000,241,2715.65,11.2683,203,38
2000,228,2383.94,10.4559,189,39
3000,224,2261.94,10.0979,191,33
4000,212,2332.63,11.0029,177,35
5000,230,2413.93,10.4954,187,43
10000,171,1759.55,10.2897,150,21
50000,176,2199.72,12.4984,149,27
100000,164,1728.11,10.5373,139,25
