delay_ms,total_trades,total_net_profit,total_volume_traded,total_fees_paid,,margin_pct
0,584,3094.47,149471.03,1618.55,,0.020702808
100,603,2526.19,117390.33,1252.62,,0.021519575
200,601,2301.24,94839.32,1019.62,,0.024264619
300,592,1978.59,81603.44,855.9,,0.024246404
400,608,1633.83,71994.09,733.41,,0.022693946
500,657,1402.87,64022.01,632.03,,0.021912308
600,681,1403.89,55086.59,549.28,,0.02548515
700,639,1330,49803.04,490.56,,0.026705197
800,661,1121,44944.59,433.11,,0.024941823
900,657,1037.99,40426.71,390.81,,0.025675846
1000,675,701.89,32328.7,301.29,,0.021711049
1100,719,748.53,31972.19,303.91,,0.023411909
1200,678,750.68,30158.45,280.96,,0.0248912
1300,778,638.04,28194.16,258.77,,0.022630218
1400,778,499.8,26375.17,236.43,,0.018949641
1500,752,504.67,25966.46,240.3,,0.019435456
1600,773,589.6,27168.6,263.86,,0.021701523
1700,771,621.12,28108.99,269.74,,0.022096845
1800,753,644.71,28288.64,270.83,,0.02279042
1900,690,648.95,26663.82,258.9,,0.024338223
2000,672,720.25,27930.26,275.67,,0.025787443
